1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,2,2,0,0,0,2,1,0,0,3,1,2,0,0,0,0,1,2,4,2,2,4,0,3,1,0,1,1,1,1,1,1,1,0,2,0,2,0,0,2,0,1,3,1,3,1,2,0,4,2,3,1,4,2,1,1,3,4,0,0,0,2,0,1,1,7,5,0,0,2,1,1,2,0,1,3,1,0,1,0,2,0,1,66,2,0,0,1,1,1,0,2,0,1,0,0,0,1,0
1,0,2,2,0,0,1,1,2,0,2,0,2,0,0,4,0,3,2,0,0,0,1,1,2,2,254,1,1,1,4,227,0,2,0,0,0,1,2,1,1,4,1,2,0,1,2,2,0,1,0,0,2,0,1,14,0,1,1,4,0,1,0,2,1,3,1,0,1,20,1,0,0,0,1,0,0,0,2,0,0,0,1,2,1,1,0,0,0,2,0,0,1,2,2,0,1,0,2,0
1,0,0,1,3,0,1,1,1,1,2,3,1,1,1,82,1,0,1,1,0,1,1,7,2,10,0,1,2,1,1,0,0,1,1,2,1,2,1,2,1,0,0,1,11,2,0,2,0,1,0,3,12,3,3,1,1,0,5,1,0,1,1,2,2,1,0,2,0,2,0,2,1,1,0,2,0,0,10,1,1,4,1,2,1,1,0,3,1,1,0,0,0,34,0,0,2,2,0,2
1,0,0,1,0,1,1,1,0,1,9,1,1,3,3,2,0,0,1,2,2,1,1,3,0,4,2,0,0,1,1,16,1,1,3,0,0,1,1,1,2,1,1,0,1,1,1,2,3,0,2,1,10,0,1,1,0,1,0,1,0,2,4,1,0,1,0,7,0,0,2,2,18922,0,2,2,0,1,0,1,0,1,1,2,1,5,2,0,0,0,1,1,0,0,1,0,2,0,0,1
1,0,2,0,1,39,1,0,0,1,2,31,5,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,1,2,7,3,1,0,0,0,1,1,1,1,3,0,0,3,1,1,0,0,1,1,1,0,2,0,2,0,0,2,1,2,0,2,9,0,2,0,1,0,3,10,0,0,0,3,1,0,0,0,2,2,1,0,1,2,0,2,3,1,0,3,2,7,0
1,0,2,0,1,0,1,2,2,0,0,0,2,6,1,0,1,3,1,1,1,2,0,3,2,0,1,1,0,1,3,1,1,0,1,1,9,1,3,1,0,0,1,0,11,0,2,12,0,0,1,0,0,1,1,0,1,1,0,1,6,1,1,2,2,0,2,1,0,1,1,0,1,0,2,3,1,0,1,0,0,0,2,0,2,1,0,0,1,1,0,1,1,0,1,2,4,3,0,0
1,0,1,0,0,0,0,1,0,1,0,1,2,3,2,2,1,0,3,1,0,7,25,1,0,1,0,2,1,4,2,1,1,0,1,1,2,0,3,0,0,2,0,0,2,3,3,1,0,0,3,1,1,0,2,4,1,0,3,0,0,2,0,0,1,1,0,0,2,1,0,1,0,1,0,0,1,4,1,0,0,6,2,0,0,0,8,2,2,1,3,0,1,0,3,8,1,1,0,0
0,1,0,3,1,1,2,1,0,0,2,0,0,0,2,1,1,0,1,1,1,5,0,0,0,0,0,0,1,1,0,0,1,1,2,0,1,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,3,1,1,62,2,2,0,0,0,22,2,0,2,1,0,0,1,1,0,1,0,1,1,1,0,0,3,0,0,2,2,0,0,2,0,2,0,0,1,1,2,1,0,0,1,1
1,1,0,0,0,1,0,2,2,2,1,45,42,0,1,0,2,1,1,2,1,1,0,3,0,21,1,1,1,0,0,1,1,0,0,0,1,1,5,1,1,0,0,5,1,0,0,0,1,0,1,1,7,0,4,0,1,2,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,2,2,0,1,0,1,1,1,10,1,2,1,2,4,0,1,0,3,1,0,0,0
1,0,0,61,0,2,1,0,1,2,2,1,1,1,11,1,2,4,0,3,2,1,1,3,8,2,0,0,1,1,0,4,1,0,1,1,1,68,1,1,0,2,1,1,0,2,0,0,1,1,2,2,0,2,0,4,2,3,1,2,0,10,1,0,1,1,0,0,1,2,2,1,1,0,1,2,4,1,0,0,0,1,0,0,2,0,0,0,29,1,3,1,3,0,1,2,1,0,1,1
