1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,17,0,6,9,0,14,3,1,1,5,1,4,3,3,0,1,1,0,1,16,2,2,0,0,1,1,1,0,0,0,1,9,0,0,0,2,2,0,4,0,1,3,0,2,2,1,1,3,0,2,1,0,1,0,0,1,0,0,0,1,3,1,1,2,3,0,2,3,0,0,2,0,2,1,3,0,0,1,0,2,2,1,0,0,0,5,0,1,18,1,1,0,13,1,0,0,0,0,0
1,0,1,0,0,29,1,0,0,4,1,0,9,0,0,1,0,3,2,1,1,0,0,7,1,1,2,1,1,1,1,0,0,1,9,0,11,5,1,1,0,0,0,0,3,2,6,4,0,0,1,21,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0,0,3,7,1,0,2,0,1,1,0,3,1,1,0,0,0,1,0,0,1,6,1,0,7,1,0,0,9,0,0,0,0,3
1,0,0,1,0,4,1,1,2,0,0,1,0,10,2,1,2,3,3,2,11,0,36,6,3,2,1,1,0,1,5,2,1,0,1,0,0,2,1,0,0,0,2,0,0,1,1,1,1,1,0,4,0,1,2,1,0,5,2,2,0,2,0,1,1,1,4,1,0,0,2,1,0,1,0,0,2,1,0,3,0,2,0,1,1,0,1,2,2,0,2,1,3,10,0,0,1,1,0,0
0,1,1,2,1,1,0,0,1,6,1,7,2,1,0,1,1,0,0,0,2,2,14,0,0,0,3,0,1,1,0,0,1,0,0,0,4,0,2,0,0,0,1,0,0,0,2,2,3,1,10,0,4,1,1,1,2,2,2,1,1,2,1,0,0,1,0,0,0,2,1,2,1,5,0,24,5,0,2,2,1,4,0,2,3,2,0,5,1,1,2,1,2,1,1,0,2,4,1,1
0,3,0,1,27,67,0,1,1,1,3,9,0,1,0,1,0,2,0,0,3,0,1,0,0,4,0,0,21,2,1,3,2,0,2,0,0,0,2,1,1,1,1,6,0,1,1,2,1,1,1,0,0,0,4,0,1,0,0,0,2,3,0,0,2,3,3,3,3,2,0,0,1,0,2,0,5,0,0,1,1,3,2,1,0,1,0,1,2,1,1,1,2,0,3,1,0,0,2,1
0,0,0,3,10,1,0,0,0,0,1,0,1,7,2,5,0,0,0,1,5,0,2,1,4,0,0,0,1,1,0,3,0,2,2,2,1,0,0,0,2,6,1,1,1,0,0,1,0,0,1,0,6,6,0,0,0,2,0,0,7,1,2,20,0,2,2,0,0,1,1,0,6,1,1,1,4,5,0,2,2,0,2,0,1,0,0,5,0,1,0,1,1,1,2,1,1,1,0,4
1,0,2,0,1,0,2,1,1,2,1,2,65,1,13,27,2,0,16,0,2,12,22,1,0,0,1,3,18,0,2,0,0,1,0,2,1,0,15,1,0,3,29,2,3,2,0,1,1,2,0,3,0,0,0,0,0,1,1,4,1,1,4,2,3,0,0,1,0,1,2,1,3,0,2,0,1,2,1,0,0,0,0,1,0,0,0,0,0,6,2,1,7,3,1,3,1,1,5,2
0,3,0,0,2,1,1,2,3,2,1,0,0,15,0,0,0,0,0,1,1,1,1,9,0,0,2,2,3,0,0,2,2,1,8,1,1,1,1,0,1,0,2,0,2,13,1,1,1,1,1,37,31,0,217,0,2,3,3,1,3,0,3,0,0,0,1,1,2,1,0,1,12,1,0,1,10,2,0,1,2,2,1,1,0,8,113,0,5,0,1,2,0,2,1,1,2,1,2,2
1,0,0,0,0,0,3,2,2,3,1,1,1,0,0,0,3,1,0,4,0,1,0,0,1,1,1,2,0,1,2,0,0,0,6,2,1,2,0,1,2,1,0,1,1,0,2,0,2,3,1,1,0,0,0,1,0,1,1,1,0,9,0,2,0,7,0,2,3,0,1,2,1,1,1,5,4,2,1,0,1,1,2,0,2,0,1,0,1,0,0,0,0,1,3,1,1,13,2,1
2,0,0,0,4,1,1,0,0,0,2,2,2,1,0,0,0,4,1,1,0,2,0,2,1,1,0,0,4,0,1,3,0,0,32,3,1,0,2,2,3,1,37,3,14,0,0,1,0,4,0,5,0,0,1,0,1,0,0,3,0,0,0,1,1,0,0,0,0,2,2,4,1,0,0,2,1,4,0,0,3,20,1,0,0,1,3,0,6,1,4,1,0,0,0,1,0,2,2,0
