1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2,0,0,2,2,1,1,3,0,10,0,1,0,0,0,1,3,0,3,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,23,12,4,0,1,0,0,0,0,5,1,2,2,3,2,1,3,0,45,1,1,1,0,3,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,2,14,0,0,0,1,1,9,0,3,2,0,27,0,2,2
0,0,1,3,2,0,0,0,3,0,50,0,1,0,0,0,3,0,12,1,1,6,0,0,0,1,1,1,0,3,1,1,20,0,7,14,0,0,1722,0,1,1,0,1,1,1,0,0,1,0,5,2,0,9,1,2,0,3,1,6,1,0,2,1,0,1,30,3,1,0,1,0,2,0,1,5,1,1,1,0,14,0,1,0,2,3,1,0,0,0,1,9,4,0,0,0,1,0,1,0
6,0,0,0,1,0,1,0,0,10,2,1,2,0,0,3,1,0,0,0,1,3,6,1,0,1,0,1,0,0,0,0,0,1,24,2,2,0,1,1,2,0,0,0,1,0,0,1,0,6,1,0,2,22,0,3,2,1,1,1,0,134,1,1,0,0,1,2,1,0,3,0,4,2,0,3,2,1,2,0,0,0,0,1,0,2,1,2,1,1,0,3,2,0,5,8,1,1,0,44
1,1,0,0,0,2,0,35,0,0,2,2,1,6,1,0,1,2,0,0,3,0,0,0,0,3,1,0,0,2,0,1,1,2,1,2,0,24,0,3,0,2,1,0,3,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,3,1,0,2,1,0,1,2,0,2,0,2,1,0,1,1,3,6,6,2,0,0,0,0,0,3,0,2,0,0,324,2,1,2,0,0,0,3,3,1
0,8,0,1,8,0,0,1,142,0,8,1,0,0,0,5,2,1,1,0,1,0,0,2,0,0,0,0,2,0,12,3,3,1,3,0,1,2,0,3,0,4,1,1,0,1,1,1,0,2,1,0,1,4,9,0,2,2,59,9,0,0,1,0,0,3,1,0,1,0,0,0,0,1,0,3,0,2,1,3,0,0,0,0,0,0,0,0,4,1,14,0,9,1,0,3,0,0,0,2
1,0,0,1,0,0,0,0,1,2,1,1,0,1,1,1,3,0,1,0,2,0,0,1,3,4,2,0,1,128,0,2,2,1,0,0,0,1,1,2,1,2,57,0,3,0,1,0,2,1,0,2,0,2,1,7,1,2,0,0,0,1,596,1,1,0,1,78,1,0,4,5,1,2,0,1,0,0,0,0,3,0,4,5,1,1,1,0,0,2,0,1,1,0,0,2,2,0,0,0
1,2,4,0,5,0,0,1,0,1,1,1,0,0,2,0,1,96,2,1,0,1,0,2,5,3,0,17,0,1,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,1,1,0,3,1,1,0,1,0,0,1,0,2,3,2,1,1,1,0,0,1,23,2,0,1,5,0,0,1,2,0,1,0,0,3,2,0,3,0,0,0,3,1,0,0,2,2,2,3,3,0,0,1,3,1
1,0,1,0,1,1,0,0,3,0,2,3,0,21,0,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,3,6,0,1,3,2,0,1,3,1,0,16,1,7,2,0,1,1,2,0,0,2,2,1,8,0,0,1,7,2,0,2,3,1,0,0,1,0,2,0,0,0,0,1,1,0,2,0,1,1,60,0,0,2,0,2,5,3,0,1,0,0,0,1,0,0,3,1,0,1
1,0,2,5,7,0,1,1,0,2,0,0,3,2,0,8,14,0,0,1,0,0,1,0,0,1,0,1,0,1,2,1,3,1,0,0,1,0,1,0,1,1,1,0,0,9,1,0,1,10,0,1,0,2,0,0,0,0,0,3,0,0,2,3,1,12,0,0,0,2,1,0,1,1,1,0,0,6,1,0,4,0,0,0,2,0,0,1,0,17,4,2,7,0,1,1,1,0,0,1
1,0,0,6,1,0,2,1,0,2,0,0,1,1,4,0,0,1,15,1,1,7,1,2,2,0,4,1,2,1,0,2,1,0,0,1,3,0,0,1,1,1,1,3,2,0,0,1,0,2,1,1,0,210,1,0,6,1,15,0,1,24,0,2,3,0,2,9,0,0,0,0,2,1,5,0,0,0,0,7,2,2,1,0,0,0,2,0,0,4,0,0,1,1,1,2,1,2,2,0
